,long,lat,value
0,-25.6423995,-49.38729786,1.0
1,-25.6423995,-49.38321558,1.0
2,-25.6423995,-49.3791333,1.0
3,-25.6423995,-49.37505102,1.0
4,-25.6423995,-49.37096874,1.0
5,-25.6423995,-49.36688646,1.0
6,-25.6423995,-49.36280418,1.0
7,-25.6423995,-49.3587219,1.0
8,-25.6423995,-49.35463962,1.0
9,-25.6423995,-49.35055734,1.0
10,-25.6423995,-49.34647506,1.0
11,-25.6423995,-49.34239278,1.0
12,-25.6423995,-49.3383105,1.0
13,-25.6423995,-49.33422822,1.0
14,-25.6423995,-49.33014594,1.0
15,-25.6423995,-49.32606366,1.0
16,-25.6423995,-49.32198138,1.0
17,-25.6423995,-49.3178991,1.0
18,-25.6423995,-49.31381682,1.0
19,-25.6423995,-49.30973454,1.0
20,-25.6423995,-49.30565226,1.0
21,-25.6423995,-49.30156998,1.0
22,-25.6423995,-49.2974877,1.0
23,-25.6423995,-49.29340542,1.0
24,-25.6423995,-49.28932314,1.0
25,-25.6423995,-49.28524086,1.0
26,-25.6423995,-49.28115858,1.0
27,-25.6423995,-49.2770763,1.0
28,-25.6423995,-49.27299402,1.0
29,-25.6423995,-49.26891174,1.0
30,-25.6423995,-49.26482946,1.0
31,-25.6423995,-49.26074718,1.0
32,-25.6423995,-49.2566649,1.0
33,-25.6423995,-49.25258262,1.0
34,-25.6423995,-49.24850034,1.0
35,-25.6423995,-49.24441806,1.0
36,-25.6423995,-49.24033578,1.0
37,-25.6423995,-49.2362535,1.0
38,-25.6423995,-49.23217122,1.0
39,-25.6423995,-49.22808894,1.0
40,-25.6423995,-49.22400666,1.0
41,-25.6423995,-49.21992438,1.0
42,-25.6423995,-49.2158421,1.0
43,-25.6423995,-49.21175982,1.0
44,-25.6423995,-49.20767754,1.0
45,-25.6423995,-49.20359526,1.0
46,-25.6423995,-49.19951298,1.0
47,-25.6423995,-49.1954307,1.0
48,-25.6423995,-49.19134842,1.0
49,-25.6423995,-49.18726614,1.0
50,-25.6364265,-49.38729786,1.0
51,-25.6364265,-49.38321558,1.0
52,-25.6364265,-49.3791333,1.0
53,-25.6364265,-49.37505102,1.0
54,-25.6364265,-49.37096874,1.0
55,-25.6364265,-49.36688646,1.0
56,-25.6364265,-49.36280418,1.0
57,-25.6364265,-49.3587219,1.0
58,-25.6364265,-49.35463962,1.0
59,-25.6364265,-49.35055734,1.0
60,-25.6364265,-49.34647506,1.0
61,-25.6364265,-49.34239278,1.0
62,-25.6364265,-49.3383105,1.0
63,-25.6364265,-49.33422822,1.0
64,-25.6364265,-49.33014594,1.0
65,-25.6364265,-49.32606366,1.0
66,-25.6364265,-49.32198138,1.0
67,-25.6364265,-49.3178991,1.0
68,-25.6364265,-49.31381682,1.0
69,-25.6364265,-49.30973454,1.0
70,-25.6364265,-49.30565226,1.0
71,-25.6364265,-49.30156998,1.0
72,-25.6364265,-49.2974877,1.0
73,-25.6364265,-49.29340542,1.0
74,-25.6364265,-49.28932314,1.0
75,-25.6364265,-49.28524086,1.0
76,-25.6364265,-49.28115858,1.0
77,-25.6364265,-49.2770763,1.0
78,-25.6364265,-49.27299402,1.0
